Annual_Income,Num_of_Loan,Num_of_Delayed_Payment,Outstanding_Debt
88348.8,0,12,261.93
88348.8,0,13,261.93
88348.8,0,14,261.93
22182.95,4,14,1170.58
22182.95,4,16,1170.58
22182.95,4,16,1170.58
22182.95,4,17,1170.58
22182.95,4,17,1170.58
22182.95,4,15,1170.58
32357.41,0,19,681.22
32357.41,0,21,681.22
32357.41,0,0,681.22
32357.41,0,19,681.22
32357.41,0,19,681.22
32357.41,0,19,681.22
31481.45,0,15,650.3
31481.45,0,12,650.3
85280.88,0,0,825.18
85280.88,0,9,825.18
85280.88,0,6,825.18
85280.88,0,9,825.18
85280.88,0,9,825.18
34192.02,3,2,178.65
34192.02,3,0,178.65
34192.02,3,0,178.65
34192.02,3,2,178.65
34192.02,3,0,178.65
34192.02,3,0,178.65
119889.75,1,2,489.86
119889.75,1,2,489.86
119889.75,1,2,489.86
119889.75,1,1,489.86
119889.75,1,1,489.86
119889.75,1,2,489.86
119889.75,1,0,489.86
12593.765,1,12,1211.15
12593.765,1,12,1211.15
12593.765,1,12,1211.15
12593.765,1,15,1211.15
12593.765,1,12,1211.15
3874224.0,1,12,1211.15
19370.48,3,16,482.47
19370.48,3,13,482.47
19370.48,3,18,482.47
19370.48,3,16,482.47
31994.01,2,17,1197.22
31994.01,2,19,1197.22
31994.01,2,19,1197.22
31994.01,2,0,1197.22
31994.01,2,21,1197.22
59534.16,3,15,1350.67
59534.16,3,16,1350.67
59534.16,3,15,1350.67
59534.16,3,0,1350.67
59534.16,3,16,1350.67
59534.16,3,16,1350.67
14584.155,3,12,883.9
14584.155,3,12,883.9
14584.155,3,12,883.9
14584.155,3,12,883.9
14584.155,3,11,883.9
122425.8,2,18,1252.3
122425.8,2,18,1252.3
122425.8,2,20,1252.3
21206.82,1,13,246.86
21206.82,1,10,246.86
44441.99,1,11,191.55
44441.99,1,12,191.55
44441.99,1,11,191.55
23256.59,4,20,1216.75
23256.59,4,20,1216.75
23256.59,4,17,1216.75
23256.59,4,20,1216.75
23256.59,4,20,1216.75
88601.46,0,3,794.53
88601.46,0,0,794.53
88601.46,0,3,794.53
88601.46,0,3,794.53
88601.46,0,3,794.53
11333.42,2,8,125.01
11333.42,2,12,125.01
11333.42,2,0,125.01
142717.44,0,16,1413.48
142717.44,0,19,1413.48
142717.44,0,16,1413.48
142717.44,0,0,1413.48
142717.44,0,13,1413.48
19269.565,4,10,578.31
19269.565,4,8,578.31
19269.565,4,8,578.31
19269.565,4,8,578.31
19269.565,4,8,578.31
57197.04,0,11,1278.85
57197.04,0,11,1278.85
81481.02,2,15,211.88
81481.02,2,0,211.88
81481.02,2,18,211.88
81481.02,2,20,211.88
81481.02,2,18,211.88
81481.02,2,15,211.88
57994.96,2,1,1096.7
57994.96,2,3,1096.7
57994.96,2,1,1096.7
57994.96,2,0,1096.7
57994.96,2,1,1096.7
57994.96,2,1,1096.7
57473.58,3,1,703.18
57473.58,3,2,703.18
94525.68,0,17,426.31
94525.68,0,16,426.31
76072.76,0,10,359.79
76072.76,0,12,359.79
76072.76,0,13,359.79
76072.76,0,13,359.79
76072.76,0,10,359.79
88126.58,0,6,261.29
88126.58,0,6,261.29
31049.93,3,20,1217.19
31049.93,3,0,1217.19
31049.93,3,22,1217.19
31049.93,3,20,1217.19
31049.93,3,20,1217.19
87791.45999999999,1,17,510.1
87791.45999999999,1,17,510.1
13966.77,3,15,412.48
13966.77,3,15,412.48
13966.77,3,0,412.48
13966.77,3,15,412.48
13966.77,3,16,412.48
71660.3,1,19,1409.25
71660.3,1,19,1409.25
71660.3,1,19,1409.25
34630.59,3,19,104.41
34630.59,3,17,104.41
48610.06,3,20,1175.65
48610.06,3,0,1175.65
48610.06,3,19,1175.65
48610.06,3,21,1175.65
48610.06,3,19,1175.65
48610.06,3,20,1175.65
32584.15,2,0,355.11
32584.15,2,4,355.11
32584.15,2,5,355.11
32827.08,2,15,300.7
32827.08,2,15,300.7
32827.08,2,17,300.7
32827.08,2,15,300.7
32827.08,2,15,300.7
73928.78,3,16,1457.45
73928.78,3,16,1457.45
73928.78,3,18,1457.45
73928.78,3,16,1457.45
29937.85,1,5,720.68
29937.85,1,3,720.68
29937.85,1,3,720.68
29937.85,1,5,720.68
29937.85,1,5,720.68
29937.85,1,5,720.68
29297.14,0,6,1214.42
29297.14,0,6,1214.42
29297.14,0,4,1214.42
29297.14,0,6,1214.42
29297.14,0,6,1214.42
18514.195,2,2,62.75
18514.195,2,2,62.75
18514.195,2,5,62.75
18514.195,2,2,62.75
18514.195,2,1,62.75
18514.195,2,2,62.75
43270.47,2,18,1401.86
43270.47,2,21,1401.86
43270.47,2,18,1401.86
43270.47,2,18,1401.86
43270.47,2,19,1401.86
18380.15,4,14,1456.12
18380.15,4,14,1456.12
18380.15,4,14,1456.12
18380.15,4,14,1456.12
18380.15,4,14,1456.12
28631.79,3,21,685.37
28631.79,3,20,685.37
28631.79,3,18,685.37
28631.79,3,17,685.37
75004.04999999999,3,9,199.04
75004.04999999999,3,9,199.04
9888.7,5,20,1416.74
9888.7,5,17,1416.74
9888.7,5,17,1416.74
9888.7,5,16,1416.74
9888.7,5,17,1416.74
9888.7,5,17,1416.74
69050.52,0,15,1382.56
69050.52,0,15,1382.56
69050.52,0,0,1382.56
69050.52,0,18,1382.56
103284.84,2,6,256.0
103284.84,2,6,256.0
23312.22,2,0,1067.99
23312.22,2,13,1067.99
23312.22,2,13,1067.99
23312.22,2,13,1067.99
23312.22,2,13,1067.99
30093.32,1,5,22.88
30093.32,1,7,22.88
30093.32,1,5,22.88
30093.32,1,5,22.88
132588.3,2,1,36.46
132588.3,2,2,36.46
132588.3,2,2,36.46
132588.3,2,2,36.46
132588.3,2,4,36.46
29873.96,0,1328,1117.08
29873.96,0,7,1117.08
29873.96,0,5,1117.08
29873.96,0,7,1117.08
16544.455,0,1,217.92
16544.455,0,4,217.92
16544.455,0,4,217.92
2251358.0,0,4,217.92
16544.455,0,3404,217.92
25899.18,3,9,69.74
25899.18,3,9,69.74
25899.18,3,2438,69.74
25899.18,3,9,69.74
25899.18,3,9,69.74
25899.18,3,9,69.74
25899.18,3,9,69.74
85954.42,3,11,791.46
85954.42,3,11,791.46
85954.42,3,11,791.46
85954.42,3,11,791.46
85954.42,3,9,791.46
85954.42,3,0,791.46
44768.54,1,8,127.38
44768.54,1,7,127.38
44768.54,1,10,127.38
44768.54,1,10,127.38
28108.17,4,12,597.44
28108.17,4,12,597.44
28108.17,4,14,597.44
28108.17,4,12,597.44
17569.69,4,9,1135.31
17569.69,4,12,1135.31
17569.69,4,10,1135.31
17569.69,4,9,1135.31
100433.58,2,2,1023.93
100433.58,2,1,1023.93
100433.58,2,2,1023.93
82823.92,2,11,171.45
82823.92,2,12,171.45
82823.92,2,11,171.45
82823.92,2,11,171.45
107761.29,0,15,34.09
107761.29,0,16,34.09
107761.29,0,16,34.09
107761.29,0,16,34.09
107761.29,0,16,34.09
107761.29,0,16,34.09
107761.29,0,19,34.09
34132.87,4,14,187.64
34132.87,4,11,187.64
34132.87,4,13,187.64
12153.69,2,19,127.34
12153.69,2,19,127.34
12153.69,2,16,127.34
12153.69,2,19,127.34
12153.69,2,19,127.34
25664.86,0,14,3.74
25664.86,0,11,3.74
25664.86,0,11,3.74
35615.68,0,10,1448.89
35615.68,0,8,1448.89
35615.68,0,4,1448.89
35615.68,0,7,1448.89
35615.68,0,5,1448.89
35615.68,0,7,1448.89
35615.68,0,7,1448.89
20282.38,1,0,1229.84
20282.38,1,15,1229.84
20282.38,1,18,1229.84
20282.38,1,18,1229.84
20282.38,1,15,1229.84
20282.38,1,15,1229.84
20282.38,1,0,1229.84
8973.16,5,21,1483.24
8973.16,5,21,1483.24
8973.16,5,21,1483.24
8973.16,5,0,1483.24
8973.16,5,19,1483.24
14810.545,1,18,931.16
14810.545,1,18,931.16
14810.545,1,18,931.16
55929.32,0,20,994.27
55929.32,0,19,994.27
55929.32,0,21,994.27
36638.43,4,11,110.35
36638.43,4,12,110.35
36638.43,4,12,110.35
31183.16,1,12,854.72
31183.16,1,12,854.72
111112.76,0,18,261.78
111112.76,0,18,261.78
111112.76,0,18,261.78
19427.14,6,15,696.13
19427.14,6,14,696.13
19427.14,6,15,696.13
19427.14,6,14,696.13
19427.14,6,15,696.13
124436.4,2,12,529.84
124436.4,2,9,529.84
124436.4,2,10,529.84
124436.4,2,7,529.84
124436.4,2,11,529.84
124436.4,2,9,529.84
28730.94,0,8,1292.55
28730.94,0,8,1292.55
28730.94,0,6,1292.55
28730.94,0,8,1292.55
5651693.0,0,8,1292.55
42103.18,2,4,725.53
42103.18,2,4,725.53
42103.18,2,1,725.53
15604.245,4,8,1065.71
15604.245,4,8,1065.71
15604.245,4,8,1065.71
15391.47,3,13,939.63
15391.47,3,12,939.63
15391.47,3,10,939.63
15391.47,3,12,939.63
132897.24,1,0,1473.37
132897.24,1,1,1473.37
132897.24,1,1,1473.37
132897.24,1,1,1473.37
132897.24,1,1,1473.37
38038.59,2,1,298.09
38038.59,2,0,298.09
38038.59,2,0,298.09
38038.59,2,0,298.09
38038.59,2,0,298.09
35539.56,0,8,819.48
35539.56,0,8,819.48
35539.56,0,10,819.48
35539.56,0,8,819.48
35539.56,0,6,819.48
35539.56,0,8,819.48
83873.61,3,15,90.93
83873.61,3,15,90.93
83873.61,3,17,90.93
83873.61,3,16,90.93
19042.55,0,16,36.36
19042.55,0,16,36.36
12975.45,0,1996,566.98
12975.45,0,15,566.98
12975.45,0,15,566.98
12975.45,0,16,566.98
12975.45,0,15,566.98
34693.86,1,2,1400.6
34693.86,1,4,1400.6
34693.86,1,4,1400.6
34693.86,1,4,1400.6
28560.71,1,9,24.57
28560.71,1,11,24.57
28560.71,1,9,24.57
28560.71,1,10,24.57
28560.71,1,9,24.57
28560.71,1,10,24.57
28560.71,1,12,24.57
39296.5,4,7,187.21
39296.5,4,9,187.21
39296.5,4,0,187.21
39296.5,4,8,187.21
39296.5,4,9,187.21
16472.09,0,7,727.41
16472.09,0,10,727.41
16472.09,0,10,727.41
16472.09,0,7,727.41
21687.46,4,5,1370.17
21687.46,4,4,1370.17
16517.795,0,11,87.91
16517.795,0,11,87.91
16517.795,0,12,87.91
16517.795,0,13,87.91
14189.3,2,9,1281.77
14189.3,2,0,1281.77
14189.3,2,9,1281.77
14189.3,2,9,1281.77
97384.44,1,12,405.45
97384.44,1,12,405.45
97384.44,1,11,405.45
97384.44,1,12,405.45
97384.44,1,15,405.45
25322.83,2,21,266.33
25322.83,2,20,266.33
25322.83,2,19,266.33
19835.93,0,6,1385.49
19835.93,0,6,1385.49
19835.93,0,8,1385.49
19835.93,0,6,1385.49
67049.66,4,12,1247.9
67049.66,4,15,1247.9
67049.66,4,10,1247.9
39340.72,0,1,1482.22
39340.72,0,1,1482.22
39340.72,0,0,1482.22
39340.72,0,1,1482.22
39340.72,0,1,1482.22
39340.72,0,2,1482.22
45941.28,3,0,1279.96
45941.28,3,19,1279.96
45941.28,3,19,1279.96
45941.28,3,19,1279.96
29594.87,3,8,772.83
29594.87,3,9,772.83
29594.87,3,9,772.83
29594.87,3,8,772.83
29594.87,3,0,772.83
73348.2,2,16,870.47
38415.69,4,8,565.02
38415.69,4,0,565.02
38415.69,4,4,565.02
38415.69,4,6,565.02
22558.95,4,14,141.14
22558.95,4,14,141.14
22558.95,4,14,141.14
22558.95,4,0,141.14
29377.62,1,18,911.06
29377.62,1,17,911.06
29377.62,1,18,911.06
29377.62,1,16,911.06
19214.965,0,10,498.81
19214.965,0,10,498.81
19214.965,0,7,498.81
79752.42,2,21,1055.14
79752.42,2,19,1055.14
79752.42,2,17,1055.14
79752.42,2,20,1055.14
79752.42,2,18,1055.14
79752.42,2,18,1055.14
33061.79,3,8,953.68
33061.79,3,13,953.68
85840.34,3,1,270.42
85840.34,3,3,270.42
85840.34,3,3,270.42
72304.38,2,8,1295.99
72304.38,2,8,1295.99
72304.38,2,8,1295.99
72304.38,2,8,1295.99
17090.225,1,8,797.12
17090.225,1,0,797.12
17090.225,1,6,797.12
17090.225,1,7,797.12
131990.84,0,13,647.15
131990.84,0,15,647.15
34317.6,0,12,386.33
34317.6,0,14,386.33
34317.6,0,11,386.33
34317.6,0,12,386.33
34317.6,0,11,386.33
33185.6,1,6,1340.52
33185.6,1,6,1340.52
33185.6,1,6,1340.52
33185.6,1,8,1340.52
9989.875,7,14,1287.97
9989.875,7,15,1287.97
9989.875,7,13,1287.97
69341.52,1,5,302.75
69341.52,1,7,302.75
69341.52,1,9,302.75
70350.06,2,13,148.52
70350.06,2,13,148.52
70350.06,2,13,148.52
77821.26,1,0,852.73
77821.26,1,0,852.73
77821.26,1,10,852.73
77821.26,1,0,852.73
17063.595,0,14,486.79
17063.595,0,14,486.79
17063.595,0,14,486.79
19453.05,6,18,731.24
19453.05,6,18,731.24
19453.05,6,18,731.24
19453.05,6,15,731.24
19453.05,6,18,731.24
20417.71,3,21,517.51
20417.71,3,20,517.51
20417.71,3,20,517.51
20426.38,4,1,622.66
20426.38,4,4,622.66
20426.38,4,4,622.66
24600.33,4,15,1437.79
24600.33,4,18,1437.79
24600.33,4,17,1437.79
24600.33,4,17,1437.79
31100.49,4,1,872.16
31100.49,4,1,872.16
31100.49,4,2,872.16
31100.49,4,1,872.16
26299.08,3,13,397.04
26299.08,3,14,397.04
26299.08,3,13,397.04
26299.08,3,13,397.04
26299.08,3,13,397.04
106154.46,1,0,386.42
106154.46,1,1,386.42
106154.46,1,1,386.42
106154.46,1,1,386.42
86058.54,1,2,28.15
86058.54,1,1,28.15
86058.54,1,1,28.15
86058.54,1,1,28.15
39693.86,2,13,306.03
39693.86,2,9,306.03
39693.86,2,12,306.03
39693.86,2,12,306.03
82796.52,1,18,966.79
82796.52,1,19,966.79
82796.52,1,21,966.79
79993.04999999999,4,18,1052.29
79993.04999999999,4,18,1052.29
79993.04999999999,4,15,1052.29
79993.04999999999,4,18,1052.29
79993.04999999999,4,18,1052.29
101299.84,2,10,1473.68
101299.84,2,9,1473.68
101299.84,2,10,1473.68
101299.84,2,10,1473.68
101299.84,2,10,1473.68
24458.57,2,10,213.33
24458.57,2,8,213.33
24458.57,2,8,213.33
39576.59,4,4,226.37
39576.59,4,1,226.37
39576.59,4,6,226.37
39576.59,4,4,226.37
70137.8,1,14,335.1
70137.8,1,13,335.1
70137.8,1,9,335.1
70137.8,1,11,335.1
70137.8,1,12,335.1
35184.74,2,18,1036.03
35184.74,2,15,1036.03
35184.74,2,18,1036.03
35184.74,2,15,1036.03
35184.74,2,12,1036.03
25040.59,3,6,715.69
25040.59,3,9,715.69
25040.59,3,11,715.69
20485.76,3,12,1362.09
20485.76,3,10,1362.09
20485.76,3,0,1362.09
20485.76,3,14,1362.09
20485.76,3,12,1362.09
17517.55,0,17,1321.23
17517.55,0,17,1321.23
17517.55,0,14,1321.23
17517.55,0,17,1321.23
17517.55,0,19,1321.23
17517.55,0,17,1321.23
17517.55,0,20,1321.23
17517.55,0,16,1321.23
65598.44,1,2,306.98
65598.44,1,3,306.98
65598.44,1,2,306.98
781808.0,1,2,306.98
65598.44,1,0,306.98
102942.36000000002,2,16,76.07
102942.36000000002,2,16,76.07
102942.36000000002,2,14,76.07
102942.36000000002,2,16,76.07
102942.36000000002,2,13,76.07
15829.875,1,1204,968.61
15829.875,1,3,968.61
15829.875,1,4,968.61
38095.88,0,7,562.34
38095.88,0,6,562.34
38095.88,0,6,562.34
21695.12,5,9,1120.28
21695.12,5,11,1120.28
21695.12,5,9,1120.28
21695.12,5,8,1120.28
15971.125,4,18,335.98
15971.125,4,18,335.98
15971.125,4,18,335.98
15971.125,4,16,335.98
15971.125,4,18,335.98
21353.19,0,19,1198.13
21353.19,0,19,1198.13
21353.19,0,19,1198.13
72000.7,4,12,68.41
2568033.0,4,12,68.41
67518.81,1,11,264.7
67518.81,1,14,264.7
67518.81,1,14,264.7
67518.81,1,14,264.7
67518.81,1,17,264.7
67518.81,1,17,264.7
97577.28,2,7,708.73
97577.28,2,7,708.73
97577.28,2,7,708.73
97577.28,2,7,708.73
97577.28,2,7,708.73
97577.28,2,7,708.73
33136.35,2,1,4.64
33136.35,2,1,4.64
33136.35,2,2,4.64
33136.35,2,1,4.64
12029.15,1,0,377.62
12029.15,1,14,377.62
12029.15,1,14,377.62
12029.15,1,0,377.62
12029.15,1,14,377.62
11381.825,3,20,256.61
11381.825,3,23,256.61
11381.825,3,20,256.61
11381.825,3,20,256.61
11381.825,3,21,256.61
11381.825,3,17,256.61
24946.81,3,16,72.27
24946.81,3,16,72.27
24946.81,3,15,72.27
24946.81,3,17,72.27
33262.2,3,14,696.05
33262.2,3,11,696.05
33262.2,3,12,696.05
33262.2,3,15,696.05
33262.2,3,12,696.05
45594.72,6,19,1256.49
45594.72,6,19,1256.49
45594.72,6,17,1256.49
45594.72,6,22,1256.49
25498.21,1,10,573.77
25498.21,1,10,573.77
25498.21,1,10,573.77
14185.73,3,0,796.72
14185.73,3,2,796.72
14185.73,3,0,796.72
14185.73,3,0,796.72
117724.16,2,0,560.8
117724.16,2,9,560.8
38392.96,2,20,1305.12
38392.96,2,20,1305.12
38392.96,2,22,1305.12
38392.96,2,20,1305.12
36607.63,2,5,836.46
17488.905,3,12,1169.13
17488.905,3,6,1169.13
17488.905,3,9,1169.13
17488.905,3,7,1169.13
11562.215,1,0,537.45
11562.215,1,20,537.45
11562.215,1,20,537.45
11562.215,1,20,537.45
11562.215,1,20,537.45
11562.215,1,20,537.45
11562.215,1,20,537.45
126982.68,0,9,1351.84
104168.22,0,12,39.68
104168.22,0,15,39.68
104168.22,0,15,39.68
100148.8,4,14,337.84
100148.8,4,13,337.84
100148.8,4,14,337.84
100148.8,4,12,337.84
100148.8,4,12,337.84
100148.8,4,0,337.84
100148.8,4,14,337.84
84989.45999999999,0,12,416.47
84989.45999999999,0,11,416.47
84989.45999999999,0,8,416.47
84989.45999999999,0,11,416.47
84989.45999999999,0,11,416.47
41417.04,4,16,1486.49
41417.04,4,16,1486.49
41417.04,4,16,1486.49
41417.04,4,18,1486.49
74142.96,3,3,954.72
74142.96,3,0,954.72
74142.96,3,0,954.72
74142.96,3,0,954.72
74142.96,3,3,954.72
16360.215,4,10,453.29
16360.215,4,0,453.29
16360.215,4,10,453.29
16360.215,4,9,453.29
38147.38,3,4011,857.12
38147.38,3,8,857.12
150746.88,0,4,696.58
150746.88,0,3,696.58
150746.88,0,1,696.58
150746.88,0,4,696.58
150746.88,0,4,696.58
150746.88,0,4,696.58
114998.64,0,10,369.08
114998.64,0,9,369.08
114998.64,0,11,369.08
114998.64,0,11,369.08
114998.64,0,11,369.08
9945.42,5,16,1432.28
9945.42,5,16,1432.28
19731.16,4,14,382.35
19731.16,4,14,382.35
19731.16,4,13,382.35
19731.16,4,14,382.35
72608.32,1,8,339.2
72608.32,1,5,339.2
72608.32,1,8,339.2
72608.32,1,0,339.2
29111.07,2,18,279.95
29111.07,2,19,279.95
13684453.0,2,18,279.95
29111.07,2,17,279.95
29111.07,2,18,279.95
70978.78,3,9,967.88
70978.78,3,11,967.88
70978.78,3,9,967.88
70978.78,3,0,967.88
70978.78,3,6,967.88
126530.4,2,4,953.26
126530.4,2,0,953.26
126530.4,2,0,953.26
126530.4,2,3,953.26
126530.4,2,4,953.26
43287.85,1,2,1370.94
43287.85,1,2,1370.94
43287.85,1,2,1370.94
43287.85,1,4,1370.94
43287.85,1,2,1370.94
104045.91,2,9,1.33
104045.91,2,9,1.33
114450.72,0,17,850.96
114450.72,0,19,850.96
114450.72,0,19,850.96
114450.72,0,19,850.96
114450.72,0,19,850.96
26625.58,6,8,1317.79
26625.58,6,8,1317.79
26625.58,6,8,1317.79
26625.58,6,8,1317.79
26625.58,6,10,1317.79
21818.285,2,6,818.31
21818.285,2,6,818.31
21818.285,2,6,818.31
21818.285,2,6,818.31
21818.285,2,6,818.31
56795.28,4,11,1344.35
56795.28,4,8,1344.35
56795.28,4,11,1344.35
56795.28,4,5,1344.35
29648.76,0,0,1104.99
29648.76,0,3,1104.99
29648.76,0,5,1104.99
29648.76,0,5,1104.99
29648.76,0,4,1104.99
102447.38999999998,0,2594,190.48
102447.38999999998,0,11,190.48
102447.38999999998,0,0,190.48
102447.38999999998,0,6,190.48
102447.38999999998,0,9,190.48
16626.25,0,7,1113.26
29728.31,2,0,917.0
29728.31,2,1,917.0
29728.31,2,1,917.0
29728.31,2,2,917.0
16164.77,4,0,179.19
16164.77,4,2533,179.19
16164.77,4,19,179.19
86914.41,3,9,1084.06
86914.41,3,9,1084.06
86914.41,3,9,1084.06
86914.41,3,9,1084.06
86914.41,3,9,1084.06
42072.75,3,0,689.65
42072.75,3,5,689.65
118845.76,0,4,101.26
118845.76,0,10,101.26
118845.76,0,6,101.26
132856.92,0,0,1141.68
132856.92,0,17,1141.68
132856.92,0,13,1141.68
132856.92,0,11,1141.68
132856.92,0,15,1141.68
64427.3,2,5,1265.7
64427.3,2,5,1265.7
64427.3,2,5,1265.7
64427.3,2,5,1265.7
11533.485,7,14,1278.39
11533.485,7,14,1278.39
11533.485,7,14,1278.39
11533.485,7,14,1278.39
44006.56,2,0,186.6
44006.56,2,0,186.6
44006.56,2,1,186.6
32871.96,2,8,748.45
32871.96,2,9,748.45
32871.96,2,8,748.45
32871.96,2,1663,748.45
32871.96,2,0,748.45
32871.96,2,10,748.45
114867.4,1,10,719.93
114867.4,1,11,719.93
114867.4,1,7,719.93
114867.4,1,10,719.93
46683.12,1,20,230.77
46683.12,1,20,230.77
46683.12,1,20,230.77
46683.12,1,20,230.77
46683.12,1,22,230.77
168878.08,1,3,700.71
168878.08,1,3,700.71
168878.08,1,2,700.71
168878.08,1,6,700.71
168878.08,1,3,700.71
90438.88,3,15,898.09
90438.88,3,16,898.09
90438.88,3,12,898.09
90438.88,3,15,898.09
90438.88,3,1018,898.09
90438.88,3,15,898.09
90438.88,3,0,898.09
20958.75,8,25,1310.95
50043.26,5,0,1208.82
59710.88,1,20,36.28
59710.88,1,21,36.28
59710.88,1,20,36.28
59710.88,1,20,36.28
17621.705,1,14,776.59
17621.705,1,16,776.59
17621.705,1,18,776.59
17621.705,1,16,776.59
17621.705,1,15,776.59
26992.21,3,11,865.86
26992.21,3,11,865.86
26992.21,3,11,865.86
26992.21,3,10,865.86
26992.21,3,0,865.86
38797.22,3,17,465.86
38797.22,3,15,465.86
38797.22,3,15,465.86
110529.93,0,11,731.46
110529.93,0,12,731.46
110529.93,0,8,731.46
110529.93,0,12,731.46
14969275.0,0,0,731.46
97868.73,2,17,355.24
97868.73,2,20,355.24
97868.73,2,17,355.24
17096.48,0,10,728.06
14085.15,3,12,298.5
14085.15,3,12,298.5
14085.15,3,10,298.5
14085.15,3,9,298.5
14085.15,3,14,298.5
14085.15,3,12,298.5
14085.15,3,14,298.5
36729.93,0,11,921.03
36729.93,0,0,921.03
36729.93,0,14,921.03
17187.48,0,16,1453.63
17187.48,0,13,1453.63
17187.48,0,11,1453.63
17187.48,0,16,1453.63
17187.48,0,13,1453.63
17187.48,0,13,1453.63
23557.5,4,15,7.51
23557.5,4,18,7.51
23557.5,4,18,7.51
23557.5,4,18,7.51
23557.5,4,18,7.51
23557.5,4,20,7.51
30592.38,0,19,1288.12
25655.23,1,20,1115.06
25655.23,1,17,1115.06
25655.23,1,20,1115.06
25655.23,1,20,1115.06
42884.84,0,0,1302.49
42884.84,0,0,1302.49
42884.84,0,0,1302.49
42884.84,0,0,1302.49
42884.84,0,0,1302.49
42884.84,0,2,1302.49
27694.66,2,20,1376.27
27694.66,2,20,1376.27
27694.66,2,20,1376.27
24898.5,1,13,143.27
24898.5,1,12,143.27
24898.5,1,12,143.27
24898.5,1,12,143.27
65247.82,2,5,344.92
65247.82,2,4,344.92
65247.82,2,0,344.92
65247.82,2,4,344.92
65247.82,2,3,344.92
65247.82,2,6,344.92
135871.68,2,0,1450.98
135871.68,2,13,1450.98
135871.68,2,10,1450.98
135871.68,2,11,1450.98
135871.68,2,11,1450.98
10413.6,5,17,1098.56
10413.6,5,16,1098.56
10413.6,5,17,1098.56
10413.6,5,19,1098.56
34204.91,3,0,1319.24
34204.91,3,0,1319.24
34204.91,3,1,1319.24
34204.91,3,0,1319.24
34204.91,3,0,1319.24
34204.91,3,3,1319.24
62170.26,4,0,1456.07
62170.26,4,10,1456.07
62170.26,4,8,1456.07
62170.26,4,0,1456.07
86902.59,4,9,746.14
86902.59,4,12,746.14
86902.59,4,2919,746.14
86902.59,4,9,746.14
86902.59,4,10,746.14
86902.59,4,9,746.14
38272.58,2,15,974.34
38272.58,2,18,974.34
38272.58,2,15,974.34
38272.58,2,15,974.34
106271.13,2,14,492.06
106271.13,2,12,492.06
95745.88,3,12,738.41
36228.12,2,4,1475.78
36228.12,2,1,1475.78
36228.12,2,3,1475.78
36228.12,2,3,1475.78
65500.84,4,13,1088.57
65500.84,4,14,1088.57
65500.84,4,16,1088.57
17181.105,4,21,323.74
17181.105,4,20,323.74
35669.97,2,13,657.81
35669.97,2,15,657.81
35669.97,2,16,657.81
89417.16,0,10,330.68
89417.16,0,12,330.68
89417.16,0,12,330.68
89417.16,0,13,330.68
89417.16,0,12,330.68
89417.16,0,12,330.68
78426.52,0,12,1221.49
78426.52,0,12,1221.49
78426.52,0,12,1221.49
78426.52,0,11,1221.49
78839.48,1,19,1041.42
78839.48,1,16,1041.42
78839.48,1,15,1041.42
78839.48,1,16,1041.42
35933.67,0,4,98.89
35933.67,0,7,98.89
35933.67,0,0,98.89
35933.67,0,9,98.89
34216.85,0,18,1283.78
34216.85,0,18,1283.78
34216.85,0,18,1283.78
34216.85,0,18,1283.78
34216.85,0,19,1283.78
7156.425,5,15,1415.97
7156.425,5,15,1415.97
7156.425,5,15,1415.97
107157.12,0,19,182.91
107157.12,0,19,182.91
107157.12,0,0,182.91
135452.08,1,11,257.19
135452.08,1,14,257.19
135452.08,1,13,257.19
135452.08,1,11,257.19
135452.08,1,8,257.19
135452.08,1,11,257.19
21229.73,2,1,659.72
21229.73,2,3,659.72
21229.73,2,0,659.72
21229.73,2,1,659.72
21229.73,2,0,659.72
21229.73,2,1,659.72
120091.92,1,11,1132.46
120091.92,1,8,1132.46
171873.32,0,2,932.23
171873.32,0,0,932.23
171873.32,0,1,932.23
171873.32,0,2,932.23
171873.32,0,2,932.23
171873.32,0,5,932.23
66522.06,3,13,561.13
66522.06,3,13,561.13
66522.06,3,13,561.13
16724.855,2,15,1008.14
16724.855,2,0,1008.14
16724.855,2,17,1008.14
16724.855,2,17,1008.14
120030.68,1,11,1247.79
120030.68,1,11,1247.79
120030.68,1,11,1247.79
61348.98,4,11,1240.49
61348.98,4,9,1240.49
61348.98,4,11,1240.49
61348.98,4,14,1240.49
61348.98,4,0,1240.49
61348.98,4,11,1240.49
141816.36,0,9,532.62
141816.36,0,9,532.62
141816.36,0,6,532.62
141816.36,0,7,532.62
99845.4,2,5,778.1
99845.4,2,0,778.1
99845.4,2,2,778.1
99845.4,2,0,778.1
99845.4,2,0,778.1
99845.4,2,2,778.1
99845.4,2,2,778.1
22373.535,2,9,1472.78
22373.535,2,6,1472.78
22373.535,2,9,1472.78
22373.535,2,9,1472.78
22373.535,2,9,1472.78
32937.83,4,15,134.09
32937.83,4,15,134.09
32937.83,4,15,134.09
32937.83,4,15,134.09
32937.83,4,17,134.09
58301.44,4,15,352.44
58301.44,4,14,352.44
58301.44,4,14,352.44
58301.44,4,13,352.44
142475.32,2,18,628.57
142475.32,2,18,628.57
142475.32,2,18,628.57
142475.32,2,18,628.57
38580.05,1,6,211.92
38580.05,1,3,211.92
38580.05,1,0,211.92
38580.05,1,6,211.92
19135.35,2,0,1064.05
19135.35,2,9,1064.05
19135.35,2,9,1064.05
19135.35,2,9,1064.05
